## mouse.knockout
## Mouse knockout phenotypes from JAX
## hg19, source=gm.jax created=28JUN2011:04:21:45
## PGC bioinformatics, PF Sullivan & Johan Kallberg, Karolinska Institutet, (c) 2016
## Rows: 5 comments, header, 6228 entries. Columns: 6
#chr	bp1	bp2	geneName	musName	phenotype
chrX	55035488	55057497	ALAS2	Alas2	"embryogenesis;hematopoietic system;homeostasis/metabolism;integument;mortality/aging"
chr4	74262831	74287129	ALB	Alb	"digestive/alimentary;homeostasis/metabolism;liver/biliary system;mortality/aging;normal;renal/urinary system"
chr3	105085753	105295744	ALCAM	Alcam	"nervous system;vision/eye"
chr9	75515578	75695358	ALDH1A1	Aldh1a1	"craniofacial;endocrine/exocrine gland;liver/biliary system;mortality/aging;normal;respiratory system;vision/eye"
chr15	58245622	58790065	ALDH1A2	Aldh1a2	"cardiovascular system;craniofacial;embryogenesis;endocrine/exocrine gland;growth/size;hearing/vestibular/ear;hematopoietic system;homeostasis/metabolism;immune system;limbs/digits/tail;mortality/aging;muscle;nervous system;normal;renal/urinary system;reproductive system;respiratory system;skeleton;vision/eye"
chr15	101417919	101456831	ALDH1A3	Aldh1a3	"craniofacial;endocrine/exocrine gland;mortality/aging;normal;renal/urinary system;respiratory system;skeleton;vision/eye"
chr12	112204691	112247782	ALDH2	Aldh2	"cellular;homeostasis/metabolism"
chr17	19641297	19652256	ALDH3A1	Aldh3a1	"normal"
chr6	24495080	24537435	ALDH5A1	Aldh5a1	"behavior/neurological;growth/size;homeostasis/metabolism;mortality/aging;muscle;nervous system;renal/urinary system"
chr5	125877533	125931110	ALDH7A1	Aldh7a1	"normal"
chrX	110909043	111003877	ALG13	Alg13	"cardiovascular system;embryogenesis;mortality/aging"
chr13	37523912	37574398	ALG5	Alg5	"embryogenesis;mortality/aging"
chr14	78138747	78174363	ALKBH1	Alkbh1	"cardiovascular system;craniofacial;embryogenesis;endocrine/exocrine gland;growth/size;limbs/digits/tail;mortality/aging;nervous system;reproductive system;skeleton;vision/eye"
chr12	109525996	109531436	ALKBH2	Alkbh2	"cellular;homeostasis/metabolism;mortality/aging"
chr11	43902361	43941816	ALKBH3	Alkbh3	"cellular;homeostasis/metabolism;mortality/aging;normal"
chr11	107373452	107436472	ALKBH8	Alkbh8	"normal"
chr2	73612886	73837920	ALMS1	Alms1	"adipose tissue;behavior/neurological;cellular;endocrine/exocrine gland;growth/size;hearing/vestibular/ear;homeostasis/metabolism;immune system;liver/biliary system;renal/urinary system;reproductive system;vision/eye"
chr17	6899384	6914055	ALOX12	Alox12	"hematopoietic system;homeostasis/metabolism;immune system;integument"
chr17	7975954	7991021	ALOX12B	Alox12b	"homeostasis/metabolism;integument;mortality/aging;no phenotypic analysis"
chr17	4534197	4545589	ALOX15	Alox15	"cardiovascular system;endocrine/exocrine gland;hematopoietic system;immune system;integument;mortality/aging;reproductive system;tumorigenesis"
chr10	45869661	45941561	ALOX5	Alox5	"adipose tissue;cardiovascular system;hematopoietic system;homeostasis/metabolism;immune system;skeleton"
chr13	31309645	31338556	ALOX5AP	Alox5ap	"homeostasis/metabolism;immune system;skeleton"
chr1	21835858	21904905	ALPL	Alpl	"adipose tissue;behavior/neurological;cardiovascular system;craniofacial;digestive/alimentary;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;limbs/digits/tail;mortality/aging;muscle;nervous system;reproductive system;respiratory system;skeleton"
chr2	233271553	233275424	ALPPL2	Alppl2	"embryogenesis;growth/size;mortality/aging;normal;reproductive system"
chr2	202565277	202645912	ALS2	Als2	"behavior/neurological;growth/size;homeostasis/metabolism;immune system;mortality/aging;muscle;nervous system"
chr12	85673885	85695562	ALX1	Alx1	"behavior/neurological;craniofacial;digestive/alimentary;embryogenesis;growth/size;hearing/vestibular/ear;homeostasis/metabolism;limbs/digits/tail;mortality/aging;nervous system;normal;respiratory system;skeleton;vision/eye"
chr1	110602616	110613322	ALX3	Alx3	"behavior/neurological;craniofacial;digestive/alimentary;growth/size;limbs/digits/tail;mortality/aging;normal;respiratory system;skeleton;vision/eye"
chr11	44281994	44331716	ALX4	Alx4	"behavior/neurological;craniofacial;digestive/alimentary;growth/size;integument;limbs/digits/tail;mortality/aging;nervous system;normal;respiratory system;skeleton;vision/eye"
chr5	33986283	34008220	AMACR	Amacr	"adipose tissue;growth/size;homeostasis/metabolism;liver/biliary system;mortality/aging"
chr4	71457973	71473005	AMBN	Ambn	"craniofacial;skeleton;tumorigenesis"
chr9	116822407	116840752	AMBP	Ambp	"behavior/neurological;embryogenesis;endocrine/exocrine gland;reproductive system"
chr11	46417964	46615675	AMBRA1	Ambra1	"cellular;embryogenesis;mortality/aging;nervous system"
chr6	111195973	111216916	AMD1	Amd1	"embryogenesis;mortality/aging"
chrX	11311533	11318881	AMELX	Amelx	"craniofacial;skeleton"
chr19	2249308	2252072	AMH	Amh	"endocrine/exocrine gland;homeostasis/metabolism;no phenotypic analysis;reproductive system;tumorigenesis"
chr12	53817639	53825318	AMHR2	Amhr2	"cardiovascular system;cellular;embryogenesis;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;integument;mortality/aging;no phenotypic analysis;renal/urinary system;reproductive system;respiratory system;tumorigenesis"
chrX	109437414	109683461	AMMECR1	Ammecr1	"endocrine/exocrine gland"
chr14	103388993	103399933	AMN	Amn	"cellular;embryogenesis;mortality/aging;nervous system"
chrX	112017731	112084043	AMOT	Amot	"cardiovascular system;embryogenesis;growth/size;mortality/aging;nervous system"
chr7	38423305	38671167	AMPH	Amph	"behavior/neurological;endocrine/exocrine gland;mortality/aging;nervous system;reproductive system"
chr9	140069236	140082989	ANAPC2	Anapc2	"hematopoietic system;homeostasis/metabolism;liver/biliary system;mortality/aging;skeleton"
chr8	108261721	108510283	ANGPT1	Angpt1	"cardiovascular system;embryogenesis;mortality/aging;muscle"
chr8	6357172	6420930	ANGPT2	Angpt2	"cardiovascular system;digestive/alimentary;homeostasis/metabolism;immune system;integument;mortality/aging;vision/eye"
chr1	178818840	178840187	ANGPTL1	Angptl1	"normal"
chr9	129849611	129885162	ANGPTL2	Angptl2	"adipose tissue;growth/size;homeostasis/metabolism;immune system"
chr1	63063158	63071830	ANGPTL3	Angptl3	"adipose tissue;growth/size;homeostasis/metabolism;liver/biliary system;mortality/aging"
chr19	8428173	8439257	ANGPTL4	Angptl4	"adipose tissue;digestive/alimentary;growth/size;homeostasis/metabolism;immune system;mortality/aging"
chr19	10203014	10213472	ANGPTL6	Angptl6	"adipose tissue;cardiovascular system;embryogenesis;growth/size;homeostasis/metabolism;mortality/aging"
chr8	41510739	41754280	ANK1	Ank1	"behavior/neurological;cardiovascular system;growth/size;hematopoietic system;homeostasis/metabolism;immune system;integument;liver/biliary system;mortality/aging;nervous system;pigmentation;renal/urinary system;reproductive system;skeleton"
chr4	113739265	114304896	ANK2	Ank2	"behavior/neurological;cardiovascular system;growth/size;homeostasis/metabolism;mortality/aging;nervous system;vision/eye"
chr10	61786056	62493248	ANK3	Ank3	"behavior/neurological;mortality/aging;nervous system"
chr5	14704910	14871887	ANKH	Ank	"behavior/neurological;cellular;craniofacial;growth/size;hearing/vestibular/ear;hematopoietic system;homeostasis/metabolism;immune system;limbs/digits/tail;mortality/aging;muscle;other;reproductive system;respiratory system;skeleton"
chr10	92671853	92681033	ANKRD1	Ankrd1	"muscle"
chr16	89334038	89556969	ANKRD11	Ankrd11	"craniofacial;embryogenesis;growth/size;hematopoietic system;homeostasis/metabolism;immune system;mortality/aging;skeleton"
chr4	73939093	74124515	ANKRD17	Ankrd17	"cardiovascular system;embryogenesis;growth/size;homeostasis/metabolism;mortality/aging;muscle;nervous system;no phenotypic analysis;normal"
chr10	99332198	99343641	ANKRD2	Ankrd2	"muscle"
chr2	97490263	97523671	ANKRD23	Ankrd23	"muscle"
chr10	27280843	27389421	ANKRD26	Ankrd26	"adipose tissue;behavior/neurological;cardiovascular system;growth/size;homeostasis/metabolism;renal/urinary system"
chr5	74364100	74532703	ANKRD31	Gcnt4	"behavior/neurological;digestive/alimentary;hematopoietic system;homeostasis/metabolism;immune system;normal;renal/urinary system"
chr5	93954052	94075141	ANKRD32	Ankrd32	"normal"
chr6	34857042	35059179	ANKS1A	Anks1	"normal"
chr11	69924408	70035634	ANO1	Ano1	"behavior/neurological;growth/size;homeostasis/metabolism;mortality/aging;muscle;respiratory system;skeleton"
chr15	69070874	69113236	ANP32A	Anp32a	"behavior/neurological;growth/size;mortality/aging;nervous system;normal;reproductive system"
chr1	150190717	150208504	ANP32E	Anp32e	"behavior/neurological;mortality/aging;normal;reproductive system"
chr15	90328120	90358633	ANPEP	Anpep	"cardiovascular system;hematopoietic system;immune system;reproductive system"
chr2	69240310	69476459	ANTXR1	Antxr1	"cardiovascular system;cellular;craniofacial;endocrine/exocrine gland;immune system;limbs/digits/tail;mortality/aging;no phenotypic analysis;other;reproductive system;skeleton;tumorigenesis"
chr4	80822303	81046608	ANTXR2	Antxr2	"cellular;immune system;mortality/aging;no phenotypic analysis;reproductive system"
chr9	75766673	75785309	ANXA1	Anxa1	"immune system"
chr15	60639333	60695082	ANXA2	Anxa2	"cardiovascular system;growth/size;hematopoietic system;homeostasis/metabolism"
chr2	69871557	70053596	ANXA4	Anxa4	"behavior/neurological;renal/urinary system"
chr4	122589110	122618268	ANXA5	Anxa5	"immune system;normal"
chr5	150480273	150537443	ANXA6	Anxa6	"cardiovascular system;muscle"
chr10	75134859	75173834	ANXA7	Anxa7	"cardiovascular system;cellular;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;mortality/aging;nervous system;skeleton;tumorigenesis"
chr7	36552456	36764154	AOAH	Aoah	"immune system"
chr17	41003201	41010147	AOC3	Aoc3	"immune system"
chr16	71762913	71843104	AP1G1	Ap1g1	"growth/size;hematopoietic system;immune system;mortality/aging"
chr19	16308389	16346160	AP1M1	Ap1m1	"cardiovascular system;mortality/aging"
chr19	50270225	50310370	AP2A1	Ap2a1	"no phenotypic analysis"
chr3	183892477	183901879	AP2M1	Ap2m1	"cellular;mortality/aging"
chr5	77296349	77590579	AP3B1	Ap3b1	"behavior/neurological;cardiovascular system;cellular;craniofacial;hearing/vestibular/ear;hematopoietic system;homeostasis/metabolism;immune system;integument;limbs/digits/tail;mortality/aging;nervous system;no phenotypic analysis;pigmentation;renal/urinary system;reproductive system;respiratory system;vision/eye"
chr15	83328033	83378666	AP3B2	Ap3b2	"behavior/neurological;integument;nervous system"
chr19	2100988	2164464	AP3D1	Ap3d1	"behavior/neurological;cellular;growth/size;hearing/vestibular/ear;hematopoietic system;homeostasis/metabolism;integument;mortality/aging;nervous system;pigmentation;renal/urinary system;reproductive system;vision/eye"
chr8	42010464	42029191	AP3M2	Ap3m2	"behavior/neurological;nervous system"
chr1	114437370	114447823	AP4B1	Ap4b1	"behavior/neurological;nervous system"
chr12	99038919	99129204	APAF1	Apaf1	"behavior/neurological;cardiovascular system;cellular;craniofacial;digestive/alimentary;embryogenesis;endocrine/exocrine gland;hearing/vestibular/ear;immune system;limbs/digits/tail;mortality/aging;nervous system;reproductive system;respiratory system;skeleton;tumorigenesis;vision/eye"
chr9	72042446	72287222	APBA1	Apba1	"behavior/neurological;growth/size;mortality/aging;nervous system;no phenotypic analysis"
chr15	29129629	29410518	APBA2	Apba2	"behavior/neurological;growth/size;homeostasis/metabolism;mortality/aging;nervous system;no phenotypic analysis;normal"
chr19	3750817	3761697	APBA3	Apba3	"mortality/aging;nervous system;no phenotypic analysis;normal"
chr11	6416355	6440644	APBB1	Apbb1	"behavior/neurological;cellular;growth/size;mortality/aging;nervous system;normal"
chr4	40812044	41218731	APBB2	Apbb2	"growth/size;mortality/aging;nervous system;normal"
chr5	112043195	112181936	APC	Apc	"adipose tissue;behavior/neurological;cardiovascular system;cellular;craniofacial;digestive/alimentary;embryogenesis;endocrine/exocrine gland;growth/size;hearing/vestibular/ear;hematopoietic system;homeostasis/metabolism;immune system;integument;limbs/digits/tail;liver/biliary system;mortality/aging;muscle;nervous system;no phenotypic analysis;normal;pigmentation;renal/urinary system;reproductive system;skeleton;tumorigenesis;vision/eye"
chr18	10454625	10489945	APCDD1	Apcdd1	"no phenotypic analysis"
chr1	159557615	159558655	APCS	Apcs	"hematopoietic system;immune system;mortality/aging;other;renal/urinary system"
chr14	20923350	20925927	APEX1	Apex1	"cardiovascular system;cellular;embryogenesis;endocrine/exocrine gland;growth/size;homeostasis/metabolism;immune system;liver/biliary system;mortality/aging;muscle;normal;reproductive system;tumorigenesis"
chrX	55026790	55035490	APEX2	Apex2	"cellular;growth/size;hematopoietic system;immune system"
chr1	150237804	150241980	APH1A	Aph1a	"cardiovascular system;craniofacial;embryogenesis;growth/size;mortality/aging;muscle;nervous system;normal;skeleton"
chr15	63568217	63601325	APH1B	Aph1b	"normal"
chr2	68694693	68858004	APLF	Aplf	"cellular;hematopoietic system;homeostasis/metabolism;immune system"
chrX	128779240	128788933	APLN	Apln	"behavior/neurological;cardiovascular system;embryogenesis;growth/size;homeostasis/metabolism;muscle;vision/eye"
chr11	57001051	57004709	APLNR	Aplnr	"behavior/neurological;cardiovascular system;embryogenesis;homeostasis/metabolism;mortality/aging;muscle;reproductive system"
chr19	36358801	36370693	APLP1	Aplp1	"growth/size;mortality/aging"
chr11	129939732	130014699	APLP2	Aplp2	"behavior/neurological;embryogenesis;growth/size;integument;mortality/aging;nervous system;normal;reproductive system"
chr11	116706467	116708666	APOA1	Apoa1	"cardiovascular system;cellular;endocrine/exocrine gland;hematopoietic system;homeostasis/metabolism;immune system;integument;liver/biliary system"
chr1	161192082	161193421	APOA2	Apoa2	"growth/size;homeostasis/metabolism;other"
chr11	116691419	116694022	APOA4	Apoa4	"behavior/neurological;cardiovascular system;cellular;digestive/alimentary;hematopoietic system;homeostasis/metabolism;immune system"
chr11	116660083	116663136	APOA5	Apoa5	"homeostasis/metabolism;normal"
chr2	21224301	21266945	APOB	Apob	"cardiovascular system;embryogenesis;growth/size;homeostasis/metabolism;liver/biliary system;mortality/aging;nervous system;pigmentation;reproductive system;vision/eye"
chr12	7801996	7818499	APOBEC1	Apobec1	"cardiovascular system;homeostasis/metabolism;mortality/aging;normal"
chr6	41021043	41032250	APOBEC2	Apobec2	"growth/size;normal;skeleton"
chr22	39378352	39388809	APOBEC3B	Apobec3	"immune system;mortality/aging;normal;tumorigenesis"
chr19	45417504	45422606	APOC1	Apoc1	"homeostasis/metabolism;liver/biliary system"
chr11	116700422	116703788	APOC3	Apoc3	"adipose tissue;behavior/neurological;cardiovascular system;cellular;growth/size;hematopoietic system;homeostasis/metabolism;immune system;no phenotypic analysis;normal"
chr3	195295573	195311076	APOD	Apod	"behavior/neurological;hearing/vestibular/ear;homeostasis/metabolism;mortality/aging;nervous system"
chr19	45409011	45412650	APOE	Apoe	"adipose tissue;behavior/neurological;cardiovascular system;cellular;digestive/alimentary;endocrine/exocrine gland;growth/size;hearing/vestibular/ear;hematopoietic system;homeostasis/metabolism;immune system;integument;limbs/digits/tail;liver/biliary system;mortality/aging;muscle;nervous system;no phenotypic analysis;other;renal/urinary system;reproductive system;respiratory system;skeleton;taste/olfaction;vision/eye"
chr17	64208151	64252643	APOH	Apoh	"homeostasis/metabolism;mortality/aging"
chr6	31620193	31625987	APOM	Apom	"homeostasis/metabolism"
chrX	84258832	84343069	APOOL	Apool	"normal"
chr21	27252861	27543446	APP	App	"behavior/neurological;cellular;growth/size;immune system;integument;mortality/aging;muscle;nervous system;no phenotypic analysis;normal;other;reproductive system"
chr3	57261765	57307496	APPL1	Appl1	"cellular;hematopoietic system;homeostasis/metabolism;immune system;no phenotypic analysis"
chr16	88875747	88878352	APRT	Aprt	"behavior/neurological;growth/size;hematopoietic system;homeostasis/metabolism;immune system;integument;mortality/aging;renal/urinary system;reproductive system"
chr9	32972604	33025166	APTX	Aptx	"cellular;homeostasis/metabolism"
chr7	30893010	30965131	AQP1	Aqp1	"behavior/neurological;cardiovascular system;endocrine/exocrine gland;growth/size;hearing/vestibular/ear;hematopoietic system;homeostasis/metabolism;mortality/aging;nervous system;renal/urinary system;reproductive system;respiratory system;vision/eye"
chr11	77300436	77321400	AQP11	Aqp11	"growth/size;homeostasis/metabolism;mortality/aging;renal/urinary system"
chr2	241631262	241637900	AQP12A	Aqp12	"digestive/alimentary;endocrine/exocrine gland;homeostasis/metabolism;immune system"
